,Random,Greedy
855,9.0,1.0
856,37.0,4.0
857,19.0,2.0
858,25.0,3.0
859,28.0,4.0
860,17.0,0.0
861,23.0,1.0
862,12.0,2.0
863,13.0,1.0
864,23.0,3.0
865,14.0,1.0
866,19.0,0.0
867,45.0,3.0
868,7.0,2.0
869,34.0,6.0
870,24.0,8.0
871,12.0,3.0
872,12.0,0.0
873,15.0,4.0
874,17.0,1.0
875,13.0,2.0
876,14.0,1.0
877,9.0,4.0
878,21.0,1.0
879,13.0,3.0
880,28.0,3.0
881,15.0,3.0
882,11.0,1.0
883,20.0,4.0
884,11.0,1.0
885,18.0,2.0
886,18.0,2.0
887,17.0,3.0
888,17.0,3.0
889,26.0,6.0
890,9.0,1.0
891,13.0,3.0
892,6.0,2.0
893,20.0,3.0
894,23.0,0.0
895,11.0,1.0
896,12.0,1.0
897,10.0,3.0
898,9.0,1.0
899,19.0,2.0
900,12.0,1.0
901,14.0,2.0
902,25.0,5.0
903,16.0,2.0
904,23.0,3.0
905,16.0,1.0
906,14.0,2.0
907,15.0,2.0
908,37.0,4.0
909,10.0,1.0
910,14.0,2.0
911,16.0,3.0
912,21.0,4.0
913,13.0,0.0
914,16.0,1.0
915,19.0,1.0
916,12.0,1.0
917,10.0,0.0
918,13.0,3.0
919,14.0,2.0
920,29.0,3.0
921,11.0,1.0
922,15.0,2.0
923,10.0,0.0
924,24.0,4.0
925,37.0,8.0
926,15.0,4.0
927,14.0,4.0
928,24.0,2.0
929,13.0,2.0
930,12.0,2.0
931,56.0,10.0
932,15.0,2.0
933,33.0,8.0
934,19.0,2.0
935,12.0,2.0
936,19.0,3.0
937,26.0,3.0
938,32.0,4.0
939,14.0,4.0
940,8.0,2.0
941,23.0,3.0
942,27.0,2.0
943,16.0,3.0
944,27.0,7.0
945,12.0,1.0
946,28.0,3.0
947,10.0,2.0
948,13.0,1.0
949,27.0,2.0
950,53.0,10.0
951,16.0,2.0
952,15.0,2.0
953,26.0,2.0
954,47.0,10.0
955,19.0,3.0
956,16.0,2.0
957,16.0,0.0
958,25.0,1.0
959,36.0,5.0
960,19.0,3.0
961,49.0,7.0
962,49.0,11.0
963,39.0,7.0
964,6.0,4.0
965,17.0,5.0
966,10.0,4.0
967,17.0,0.0
968,15.0,2.0
969,5.0,4.0
970,10.0,4.0
971,11.0,3.0
972,13.0,3.0
973,22.0,2.0
974,18.0,4.0
975,8.0,5.0
976,9.0,2.0
977,20.0,6.0
978,14.0,2.0
979,27.0,5.0
980,17.0,1.0
981,13.0,0.0
982,39.0,8.0
983,36.0,5.0
984,27.0,2.0
985,16.0,3.0
986,16.0,3.0
987,28.0,2.0
988,19.0,6.0
989,11.0,5.0
990,24.0,7.0
991,9.0,4.0
992,13.0,4.0
993,27.0,3.0
994,12.0,6.0
995,13.0,2.0
996,33.0,7.0
997,13.0,6.0
998,17.0,0.0
999,29.0,5.0
1000,15.0,1.0
1001,11.0,2.0
1002,12.0,4.0
1003,24.0,4.0
1004,13.0,1.0
1005,26.0,3.0
1006,30.0,7.0
1007,16.0,6.0
1008,40.0,9.0
1009,23.0,10.0
1010,16.0,0.0
1011,20.0,4.0
1012,14.0,4.0
1013,20.0,4.0
1014,23.0,4.0
1015,21.0,3.0
1016,14.0,0.0
1017,12.0,2.0
1018,13.0,2.0
1019,18.0,2.0
1020,17.0,3.0
1021,29.0,4.0
1022,17.0,3.0
1023,21.0,4.0
1024,14.0,1.0
1025,8.0,2.0
1026,24.0,2.0
1027,48.0,6.0
1028,10.0,1.0
1029,29.0,4.0
1030,16.0,1.0
1031,18.0,6.0
1032,9.0,5.0
1033,13.0,3.0
1034,15.0,4.0
1035,37.0,9.0
1036,14.0,4.0
1037,25.0,3.0
1038,38.0,6.0
1039,14.0,2.0
1040,16.0,2.0
1041,17.0,1.0
1042,25.0,2.0
1043,14.0,2.0
1044,16.0,3.0
1045,9.0,2.0
1046,19.0,3.0
1047,13.0,3.0
1048,17.0,3.0
1049,36.0,6.0
1050,36.0,7.0
1051,16.0,2.0
1052,21.0,3.0
1053,27.0,4.0
1054,11.0,1.0
1055,40.0,8.0
1056,6.0,4.0
1057,20.0,6.0
1058,13.0,3.0
1059,12.0,2.0
1060,6.0,3.0
1061,17.0,2.0
1062,29.0,4.0
1063,24.0,1.0
1064,14.0,6.0
1065,18.0,3.0
1066,20.0,4.0
1067,9.0,5.0
1068,53.0,11.0
1069,12.0,1.0
1070,13.0,1.0
1071,30.0,6.0
1072,7.0,5.0
1073,26.0,4.0
1074,22.0,6.0
1075,19.0,1.0
1076,26.0,5.0
1077,38.0,4.0
1078,14.0,4.0
1079,15.0,2.0
1080,19.0,4.0
